company_name,sector,industry,careers_url,typical_roles,tier
Bank of England,Financial Services,Central Bank / Regulator,https://bankofengland.wd3.myworkdayjobs.com/BoE_Careers,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Financial Conduct Authority (FCA),Financial Services,Financial Regulator,https://fca.wd3.myworkdayjobs.com/FCA,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Lloyds Banking Group,Financial Services,Banking,https://www.lloydsbankinggroup.com/careers.html,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Barclays,Financial Services,Banking,https://search.jobs.barclays/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
HSBC,Financial Services,Banking,https://www.hsbc.com/careers,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
NatWest Group,Financial Services,Banking,https://jobs.natwestgroup.com/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Santander UK,Financial Services,Banking,https://www.santanderjobs.co.uk/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
Nationwide Building Society,Financial Services,Banking / Building Society,https://www.nationwide-jobs.co.uk/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
Standard Chartered,Financial Services,Banking,https://www.sc.com/en/careers/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
JPMorganChase,Financial Services,Banking / Markets,https://careers.jpmorgan.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,top100
Goldman Sachs,Financial Services,Banking / Markets,https://higher.gs.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Citi,Financial Services,Banking / Markets,https://jobs.citi.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Morgan Stanley,Financial Services,Banking / Markets,https://www.morganstanley.com/people-opportunities,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Deutsche Bank,Financial Services,Banking / Markets,https://careers.db.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
UBS,Financial Services,Banking / Wealth Management,https://www.ubs.com/global/en/careers.html,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
BNP Paribas,Financial Services,Banking / Markets,https://group.bnpparibas/en/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Capital One UK,Financial Services,Consumer Finance,https://www.capitalonecareers.co.uk/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
American Express,Financial Services,Payments / Consumer Finance,https://www.americanexpress.com/en-us/careers/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
London Stock Exchange Group (LSEG),Financial Services,Market Data / Infrastructure,https://www.lseg.com/en/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,top100
Experian,Financial Services,Credit Data / Analytics,https://jobs.experian.com/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,top100
Equifax,Financial Services,Credit Data / Analytics,https://careers.equifax.com/,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
TransUnion,Financial Services,Credit Data / Analytics,https://www.transunion.co.uk/careers,Data Science; Risk/Fraud Analytics; Data Analysis; AI/ML,master
Visa,Financial Services,Payments Technology,https://jobs.visa.com/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Mastercard,Financial Services,Payments Technology,https://careers.mastercard.com/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
PayPal,Financial Services,Payments / FinTech,https://paypal.eightfold.ai/careers,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
Global Payments / Worldpay,Financial Services,Payments Technology,https://jobs.worldpay.com/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
BlackRock,Financial Services,Asset Management,https://careers.blackrock.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Legal & General,Financial Services,Insurance / Asset Management,https://careers.legalandgeneral.com/,Pricing/Risk Analytics; Data Science; BI; AI/ML,master
Schroders,Financial Services,Asset Management,https://www.schroders.com/en/global/careers/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Fidelity International,Financial Services,Asset Management,https://careers.fidelityinternational.com/,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Aviva,Financial Services,Insurance / Asset Management,https://careers.aviva.co.uk/,Pricing/Risk Analytics; Data Science; BI; AI/ML,top100
M&G,Financial Services,Asset Management / Insurance,https://www.mandg.com/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
S&P Global,Financial Services,Financial Data / Ratings,https://www.spglobal.com/en/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Fitch Ratings,Financial Services,Financial Data / Ratings,https://www.fitch.group/careers,Data Science; Market/Risk Analytics; AI/ML; Data Engineering,master
Monzo,Financial Services,Digital Bank,https://monzo.com/careers,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Revolut,Financial Services,Digital Bank / FinTech,https://www.revolut.com/careers/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Wise,Financial Services,Payments / FinTech,https://wise.jobs/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,top100
Starling Bank,Financial Services,Digital Bank,https://www.starlingbank.com/careers/,Data Science; Product/Risk Analytics; AI/ML; Analytics Engineering,master
Google,Technology & Telecoms,Technology,https://www.google.com/about/careers/applications/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Google DeepMind,Technology & Telecoms,AI Research,https://deepmind.google/careers/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Microsoft,Technology & Telecoms,Technology / Cloud / AI,https://careers.microsoft.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Amazon / AWS,Technology & Telecoms,Technology / Cloud / E-commerce,https://www.amazon.jobs/en/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
Meta,Technology & Telecoms,Technology / AI,https://www.metacareers.com/,Data Science; Applied AI/ML; AI Engineering; Product Analytics,top100
